			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
US 75 HOV Southbound	00:30:00	Car	56	100.00	384.80	6.87	13.26	0.24	386.06	6.89			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	56	100.00	384.80	6.87	13.26	0.24	386.06	6.89			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:30:00	Car	4804	100.00	32602.41	6.79	7498.49	1.56	28082.32	5.85			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4804	100.00	32632.01	6.79	7500.42	1.56	28113.34	5.85			Truck	5	N/A	29.60	5.92	1.93	0.39	31.02	6.20			
US 75 Southbound	00:30:00	Car	4688	100.00	28637.60	6.11	2784.24	0.59	29125.06	6.21			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4688	100.00	28657.60	6.11	2785.37	0.59	29146.32	6.22			Truck	3	N/A	20.00	6.67	1.13	0.38	21.26	7.09			
Entire System	00:35:00	Car	55791	98.74	439396.78	7.88	85392.52	1.53	264207.94	4.74			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	714	1.26	8167.20	11.44	553.08	0.77	7983.60	11.18			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	56505	100.00	448126.03	7.93	86068.38	1.52	272491.81	4.82			Truck	4	N/A	561.80	140.45	122.79	30.70	300.33	75.08			
Greenville Ave Northbound	00:35:00	Car	4012	100.00	8728.50	2.18	1747.94	0.44	4303.44	1.07			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4012	100.00	8741.30	2.18	1750.00	0.44	4310.45	1.07			Truck	2	N/A	12.80	6.40	2.06	1.03	7.01	3.50			
Greenville Ave Southbound	00:35:00	Car	2889	100.00	7321.60	2.53	1317.18	0.46	3770.50	1.31			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2889	100.00	7328.80	2.54	1317.90	0.46	3774.43	1.31			Truck	4	N/A	7.20	1.80	0.72	0.18	3.94	0.98			
IH 635 Eastbound	00:35:00	Car	3786	100.00	17302.51	4.57	3541.69	0.94	15709.69	4.15			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3786	100.00	17302.51	4.57	3541.69	0.94	15709.68	4.15			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:35:00	Car	2479	100.00	8415.80	3.39	493.27	0.20	9007.98	3.63			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2479	100.00	8415.80	3.39	493.27	0.20	9007.98	3.63			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:35:00	Car	675	100.00	2233.00	3.31	120.07	0.18	2432.81	3.60			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	675	100.00	2233.00	3.31	120.07	0.18	2432.81	3.60			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:35:00	Car	984	100.00	3526.70	3.58	223.58	0.23	3762.25	3.82			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	984	100.00	3526.70	3.58	223.58	0.23	3762.25	3.82			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:35:00	Car	10519	100.00	16351.12	1.55	4044.62	0.38	8362.79	0.80			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	10519	100.00	16379.22	1.56	4051.21	0.39	8377.82	0.80			Truck	11	N/A	28.10	2.55	6.60	0.60	15.03	1.37			
US 75 Frontage Rd Southbound	00:35:00	Car	10825	100.00	16793.92	1.55	3347.98	0.31	8914.07	0.82			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	10825	100.00	16840.02	1.56	3355.63	0.31	8940.48	0.83			Truck	13	N/A	46.10	3.55	7.64	0.59	26.42	2.03			
US 75 HOV Northbound	00:35:00	Car	80	100.00	457.60	5.72	11.49	0.14	459.73	5.75			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	80	100.00	457.60	5.72	11.49	0.14	459.73	5.75			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:35:00	Car	68	100.00	444.40	6.54	15.37	0.23	446.49	6.57			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	68	100.00	444.40	6.54	15.37	0.23	446.49	6.57			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:35:00	Car	5646	100.00	38933.10	6.90	9196.48	1.63	33220.07	5.88			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	5646	100.00	38970.60	6.90	9199.00	1.63	33259.24	5.89			Truck	6	N/A	37.50	6.25	2.53	0.42	39.17	6.53			
US 75 Southbound	00:35:00	Car	5449	100.00	34222.62	6.28	3358.43	0.62	34783.37	6.38			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	5449	100.00	34245.42	6.28	3360.17	0.62	34807.07	6.39			Truck	3	N/A	22.80	7.60	1.74	0.58	23.71	7.90			
Entire System	00:40:00	Car	60324	98.63	466729.56	7.74	92796.20	1.54	280531.44	4.65			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	839	1.37	9105.90	10.85	659.08	0.79	8858.22	10.56			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	61163	100.00	476417.53	7.79	93583.62	1.53	289699.94	4.74			Truck	12	N/A	581.90	48.49	128.35	10.70	310.27	25.86			
Greenville Ave Northbound	00:40:00	Car	4326	100.00	9841.10	2.27	2016.09	0.47	4828.68	1.12			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4326	100.00	9853.50	2.28	2018.92	0.47	4834.78	1.12			Truck	3	N/A	12.40	4.13	2.83	0.94	6.10	2.03			
Greenville Ave Southbound	00:40:00	Car	3057	100.00	7931.60	2.59	1455.82	0.48	4069.90	1.33			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3057	100.00	7938.70	2.60	1456.43	0.48	4073.83	1.33			Truck	3	N/A	7.10	2.37	0.62	0.21	3.94	1.31			
IH 635 Eastbound	00:40:00	Car	3922	100.00	17576.21	4.48	3546.60	0.90	16042.28	4.09			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3922	100.00	17576.21	4.48	3546.60	0.90	16042.28	4.09			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:40:00	Car	2722	100.00	9115.21	3.35	540.02	0.20	9765.94	3.59			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2722	100.00	9115.21	3.35	540.02	0.20	9765.94	3.59			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:40:00	Car	711	100.00	2254.70	3.17	122.35	0.17	2461.59	3.46			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	711	100.00	2254.70	3.17	122.35	0.17	2461.59	3.46			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:40:00	Car	1097	100.00	3926.60	3.58	247.56	0.23	4197.59	3.83			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1097	100.00	3926.60	3.58	247.56	0.23	4197.59	3.83			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:40:00	Car	11149	100.00	17237.11	1.55	4326.47	0.39	8780.01	0.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11149	100.00	17265.51	1.55	4333.17	0.39	8795.19	0.79			Truck	12	N/A	28.40	2.37	6.70	0.56	15.18	1.26			
US 75 Frontage Rd Southbound	00:40:00	Car	11311	100.00	17504.40	1.55	3626.54	0.32	9228.46	0.82			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11311	100.00	17548.30	1.55	3633.87	0.32	9253.58	0.82			Truck	14	N/A	43.90	3.14	7.33	0.52	25.12	1.79			
US 75 HOV Northbound	00:40:00	Car	92	100.00	559.60	6.08	14.59	0.16	564.30	6.13			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	92	100.00	559.60	6.08	14.59	0.16	564.30	6.13			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:40:00	Car	76	100.00	514.40	6.77	18.05	0.24	518.18	6.82			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	76	100.00	514.40	6.77	18.05	0.24	518.18	6.82			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:40:00	Car	6169	100.00	42390.21	6.87	10309.83	1.67	35850.23	5.81			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6169	100.00	42435.71	6.88	10313.04	1.67	35897.41	5.82			Truck	6	N/A	45.50	7.58	3.21	0.53	47.19	7.86			
US 75 Southbound	00:40:00	Car	6008	100.00	36992.70	6.16	3626.15	0.60	37686.01	6.27			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6008	100.00	37011.50	6.16	3627.55	0.60	37705.69	6.28			Truck	3	N/A	18.80	6.27	1.40	0.47	19.68	6.56			
Entire System	00:45:00	Car	62426	98.52	477809.88	7.65	95850.74	1.54	287073.56	4.60			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	938	1.48	9269.30	9.88	699.98	0.75	8991.71	9.59			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	63364	100.00	487677.69	7.70	96684.41	1.53	296387.47	4.68			Truck	11	N/A	598.50	54.41	133.68	12.15	322.04	29.28			
Greenville Ave Northbound	00:45:00	Car	4666	100.00	11237.49	2.41	2399.53	0.51	5473.79	1.17			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4666	100.00	11251.69	2.41	2403.31	0.52	5480.59	1.17			Truck	4	N/A	14.20	3.55	3.78	0.94	6.79	1.70			
Greenville Ave Southbound	00:45:00	Car	3137	100.00	8211.40	2.62	1531.26	0.49	4198.03	1.34			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3137	100.00	8221.00	2.62	1531.99	0.49	4203.69	1.34			Truck	4	N/A	9.60	2.40	0.72	0.18	5.65	1.41			
IH 635 Eastbound	00:45:00	Car	3988	100.00	18114.30	4.54	3851.58	0.97	16330.07	4.09			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3988	100.00	18114.30	4.54	3851.58	0.97	16330.07	4.09			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:45:00	Car	2829	100.00	9490.21	3.35	566.10	0.20	10156.30	3.59			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2829	100.00	9490.21	3.35	566.10	0.20	10156.30	3.59			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:45:00	Car	713	100.00	2331.20	3.27	128.45	0.18	2537.61	3.56			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	713	100.00	2331.20	3.27	128.45	0.18	2537.61	3.56			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:45:00	Car	1134	100.00	3976.20	3.51	253.91	0.22	4252.15	3.75			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1134	100.00	3976.20	3.51	253.91	0.22	4252.15	3.75			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:45:00	Car	11381	100.00	17754.30	1.56	4577.45	0.40	8959.98	0.79			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11381	100.00	17785.00	1.56	4584.42	0.40	8976.70	0.79			Truck	14	N/A	30.70	2.19	6.97	0.50	16.72	1.19			
US 75 Frontage Rd Southbound	00:45:00	Car	11354	100.00	17613.80	1.55	3658.46	0.32	9288.32	0.82			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11354	100.00	17648.60	1.55	3664.03	0.32	9308.17	0.82			Truck	11	N/A	34.80	3.16	5.57	0.51	19.85	1.80			
US 75 HOV Northbound	00:45:00	Car	100	100.00	620.20	6.20	15.41	0.15	628.45	6.28			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	100	100.00	620.20	6.20	15.41	0.15	628.45	6.28			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:45:00	Car	84	100.00	530.20	6.31	18.53	0.22	535.82	6.38			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	84	100.00	530.20	6.31	18.53	0.22	535.82	6.38			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:45:00	Car	6402	100.00	43239.03	6.75	10249.16	1.60	36892.84	5.76			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6402	100.00	43290.23	6.76	10252.70	1.60	36946.01	5.77			Truck	5	N/A	51.20	10.24	3.54	0.71	53.17	10.63			
US 75 Southbound	00:45:00	Car	6172	100.00	37720.02	6.11	3714.70	0.60	38418.81	6.22			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6172	100.00	37740.32	6.11	3716.27	0.60	38439.91	6.23			Truck	2	N/A	20.30	10.15	1.57	0.79	21.10	10.55			
Entire System	00:50:00	Car	62920	98.45	481951.25	7.66	96983.60	1.54	289201.44	4.60			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	993	1.55	9273.20	9.34	694.14	0.70	9000.12	9.06			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	63913	100.00	491839.84	7.70	97816.23	1.53	298533.84	4.67			Truck	15	N/A	615.50	41.03	138.50	9.23	332.21	22.15			
Greenville Ave Northbound	00:50:00	Car	4651	100.00	12173.29	2.62	2709.41	0.58	5893.23	1.27			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4651	100.00	12189.79	2.62	2713.76	0.58	5900.99	1.27			Truck	5	N/A	16.50	3.30	4.35	0.87	7.76	1.55			
Greenville Ave Southbound	00:50:00	Car	3165	100.00	8182.19	2.59	1510.76	0.48	4199.30	1.33			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3165	100.00	8198.59	2.59	1511.85	0.48	4208.61	1.33			Truck	7	N/A	16.40	2.34	1.10	0.16	9.31	1.33			
IH 635 Eastbound	00:50:00	Car	4002	100.00	18399.30	4.60	4023.34	1.01	16456.86	4.11			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4002	100.00	18399.30	4.60	4023.34	1.01	16456.86	4.11			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:50:00	Car	2881	100.00	9639.11	3.35	579.97	0.20	10334.96	3.59			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2881	100.00	9639.11	3.35	579.97	0.20	10334.96	3.59			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
