			Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance					Number of Travelers		Travel Time		Travel Delay		Travel Distance				
US 75 Northbound	00:35:00	Car	6060	100.00	37421.94	6.18	5081.10	0.84	36359.16	6.00			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6060	100.00	37456.14	6.18	5083.69	0.84	36394.68	6.01			Truck	5	N/A	34.20	6.84	2.59	0.52	35.51	7.10			
US 75 Southbound	00:35:00	Car	5448	100.00	33773.71	6.20	3107.05	0.57	34587.83	6.35			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	5448	100.00	33796.41	6.20	3108.27	0.57	34612.14	6.35			Truck	4	N/A	22.70	5.68	1.21	0.30	24.31	6.08			
Entire System	00:40:00	Car	60949	98.65	477120.91	7.83	97508.12	1.60	285319.78	4.68			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	835	1.35	8802.10	10.54	637.20	0.76	8557.21	10.25			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	61784	100.00	486512.97	7.87	98284.12	1.59	294185.19	4.76			Truck	9	N/A	589.90	65.54	138.79	15.42	308.22	34.25			
Greenville Ave Northbound	00:40:00	Car	4360	100.00	9993.50	2.29	2083.04	0.48	4897.86	1.12			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4360	100.00	10004.10	2.29	2084.81	0.48	4903.52	1.12			Truck	4	N/A	10.60	2.65	1.77	0.44	5.67	1.42			
Greenville Ave Southbound	00:40:00	Car	3088	100.00	7977.40	2.58	1506.44	0.49	4066.45	1.32			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3088	100.00	7984.80	2.59	1507.35	0.49	4070.38	1.32			Truck	4	N/A	7.40	1.85	0.91	0.23	3.94	0.98			
IH 635 Eastbound	00:40:00	Car	3939	100.00	19123.81	4.85	4648.70	1.18	16562.22	4.20			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3939	100.00	19123.81	4.85	4648.70	1.18	16562.22	4.20			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:40:00	Car	2687	100.00	8846.00	3.29	523.69	0.19	9479.46	3.53			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2687	100.00	8846.00	3.29	523.69	0.19	9479.46	3.53			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:40:00	Car	717	100.00	2317.30	3.23	124.60	0.17	2524.95	3.52			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	717	100.00	2317.30	3.23	124.60	0.17	2524.95	3.52			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:40:00	Car	1085	100.00	3923.00	3.62	250.77	0.23	4189.22	3.86			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1085	100.00	3923.00	3.62	250.77	0.23	4189.22	3.86			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:40:00	Car	11639	100.00	21139.22	1.82	8312.56	0.71	8713.42	0.75			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11639	100.00	21171.92	1.82	8323.66	0.72	8728.44	0.75			Truck	15	N/A	32.70	2.18	11.10	0.74	15.02	1.00			
US 75 Frontage Rd Southbound	00:40:00	Car	11369	100.00	18371.42	1.62	4095.24	0.36	9476.77	0.83			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11369	100.00	18415.12	1.62	4102.73	0.36	9501.57	0.84			Truck	12	N/A	43.70	3.64	7.48	0.62	24.79	2.07			
US 75 HOV Northbound	00:40:00	Car	68	100.00	461.00	6.78	11.05	0.16	462.85	6.81			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	68	100.00	461.00	6.78	11.05	0.16	462.85	6.81			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:40:00	Car	68	100.00	438.60	6.45	15.62	0.23	440.67	6.48			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	68	100.00	438.60	6.45	15.62	0.23	440.67	6.48			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:40:00	Car	6588	100.00	40361.79	6.13	5570.93	0.85	39072.02	5.93			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6588	100.00	40404.99	6.13	5574.22	0.85	39116.75	5.94			Truck	6	N/A	43.20	7.20	3.29	0.55	44.73	7.46			
US 75 Southbound	00:40:00	Car	5964	100.00	36817.21	6.17	3554.77	0.60	37506.96	6.29			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	5964	100.00	36836.80	6.18	3556.16	0.60	37527.43	6.29			Truck	3	N/A	19.60	6.53	1.39	0.46	20.46	6.82			
Entire System	00:45:00	Car	62975	98.51	487880.69	7.75	100308.02	1.59	291683.16	4.63			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	953	1.49	9058.71	9.51	682.35	0.72	8782.10	9.22			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	63928	100.00	497548.22	7.78	101134.91	1.58	300787.28	4.71			Truck	13	N/A	608.70	46.82	144.55	11.12	322.13	24.78			
Greenville Ave Northbound	00:45:00	Car	4500	100.00	10586.60	2.35	2248.60	0.50	5182.63	1.15			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4500	100.00	10604.10	2.36	2253.22	0.50	5190.94	1.15			Truck	4	N/A	17.50	4.38	4.62	1.15	8.31	2.08			
Greenville Ave Southbound	00:45:00	Car	3215	100.00	8313.60	2.59	1583.32	0.49	4240.23	1.32			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3215	100.00	8323.50	2.59	1584.34	0.49	4245.89	1.32			Truck	5	N/A	9.90	1.98	1.02	0.20	5.66	1.13			
IH 635 Eastbound	00:45:00	Car	3973	100.00	19458.41	4.90	5073.48	1.28	16470.84	4.15			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3973	100.00	19458.41	4.90	5073.48	1.28	16470.84	4.15			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:45:00	Car	2787	100.00	9208.10	3.30	549.01	0.20	9868.98	3.54			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2787	100.00	9208.10	3.30	549.01	0.20	9868.98	3.54			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Eastbound	00:45:00	Car	730	100.00	2365.00	3.24	127.10	0.17	2581.27	3.54			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	730	100.00	2365.00	3.24	127.10	0.17	2581.27	3.54			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
SH 190 Westbound	00:45:00	Car	1140	100.00	4037.70	3.54	263.65	0.23	4314.39	3.78			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	1140	100.00	4037.70	3.54	263.65	0.23	4314.39	3.78			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Frontage Rd Northbound	00:45:00	Car	11808	100.00	20607.61	1.75	7605.76	0.64	8831.62	0.75			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11808	100.00	20639.21	1.75	7616.21	0.65	8846.44	0.75			Truck	16	N/A	31.60	1.98	10.45	0.65	14.82	0.93			
US 75 Frontage Rd Southbound	00:45:00	Car	11569	100.00	18752.81	1.62	4348.14	0.38	9584.52	0.83			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	11569	100.00	18787.81	1.62	4353.85	0.38	9604.38	0.83			Truck	11	N/A	35.00	3.18	5.72	0.52	19.86	1.81			
US 75 HOV Northbound	00:45:00	Car	76	100.00	507.00	6.67	11.83	0.16	509.35	6.70			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	76	100.00	507.00	6.67	11.83	0.16	509.35	6.70			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 HOV Southbound	00:45:00	Car	74	100.00	463.20	6.26	16.76	0.23	469.20	6.34			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	74	100.00	463.20	6.26	16.76	0.23	469.20	6.34			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
US 75 Northbound	00:45:00	Car	6772	100.00	41790.79	6.17	5890.13	0.87	40301.27	5.95			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6772	100.00	41844.09	6.18	5894.42	0.87	40355.83	5.96			Truck	6	N/A	53.30	8.88	4.29	0.71	54.56	9.09			
US 75 Southbound	00:45:00	Car	6096	100.00	37669.52	6.18	3819.47	0.63	38116.93	6.25			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	6096	100.00	37688.82	6.18	3821.14	0.63	38136.83	6.26			Truck	3	N/A	19.30	6.43	1.67	0.56	19.89	6.63			
Entire System	00:50:00	Car	63925	98.48	490247.66	7.67	100739.03	1.58	293289.75	4.59			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	988	1.52	9099.90	9.21	706.27	0.71	8800.94	8.91			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	64913	100.00	499973.41	7.70	101593.66	1.57	302424.78	4.66			Truck	18	N/A	625.90	34.77	148.36	8.24	334.14	18.56			
Greenville Ave Northbound	00:50:00	Car	4480	100.00	10600.00	2.37	2276.37	0.51	5187.17	1.16			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4480	100.00	10620.29	2.37	2281.71	0.51	5196.66	1.16			Truck	6	N/A	20.30	3.38	5.34	0.89	9.49	1.58			
Greenville Ave Southbound	00:50:00	Car	3279	100.00	8347.40	2.55	1588.41	0.48	4258.76	1.30			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	3279	100.00	8364.10	2.55	1590.80	0.49	4267.57	1.30			Truck	7	N/A	16.70	2.39	2.39	0.34	8.81	1.26			
IH 635 Eastbound	00:50:00	Car	4039	100.00	19417.90	4.81	5076.45	1.26	16422.60	4.07			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	4039	100.00	19417.90	4.81	5076.45	1.26	16422.60	4.07			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
IH 635 Westbound	00:50:00	Car	2822	100.00	9369.81	3.32	567.33	0.20	10026.70	3.55			Bus	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Rail	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Park and Ride	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00			Total	2822	100.00	9369.81	3.32	567.33	0.20	10026.70	3.55			Truck	0	N/A	0.00	0.00	0.00	0.00	0.00	0.00			
